entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
32_31	153.9355	147.7277	160.1433	75.6611	66.632	84.6902	79.0291	70.4309	87.6273	48.311	45.3824	51.2396	6.9386	6.7531	7.1241
32_33	154.8466	157.3723	152.3209	81.9061	85.6121	78.2001	79.7307	68.5175	90.9439	23.2754	17.458	29.0928	4.6206	3.9505	5.2907
32_37	191.8385	200.3398	183.3372	99.2898	102.1467	96.4329	72.8348	60.9198	84.7498	64.9597	44.9273	84.9921	7.844	6.5734	9.1146
32_38	180.2096	179.8242	180.595	88.7804	90.1091	87.4517	80.5905	69.9956	91.1854	89.8385	87.0138	92.6632	9.4694	9.3337	9.6051
32_39	141.3547	147.4045	135.3049	77.573	72.2795	82.8665	72.7249	60.6709	84.7789	43.9801	31.0452	56.915	6.4691	5.4413	7.4969
32_40	119.4353	122.7271	116.1435	69.3715	76.4735	62.2695	72.457	57.1554	87.7586	39.8118	48.5582	31.0654	6.0982	6.8926	5.3038
32_41	152.6611	159.6302	145.692	92.4155	97.6497	87.1813	78.39761	66.95065	89.84457	33.3215	28.6525	37.9905	5.7361	5.3708	6.1014
32_42	199.9675	207.8559	192.0791	92.2017	98.7943	85.6091	80.9647	70.514	91.4154	67.9112	68.1866	67.6358	8.2352	8.2763	8.1941
32_5	222.2256	228.8882	215.563	111.6294	115.5052	107.7536	79.5035	69.5263	89.4807	24.3641	23.4776	25.2506	4.92	4.8758	4.9642
32_9	133.9515	134.7918	133.1112	66.4555	66.1428	66.7682	73.2689	60.0169	86.5209	27.4571	20.9607	33.9535	5.14057	4.52097	5.76017
33_11	155.1476	168.9094	141.3858	79.5812	81.64574	77.51666	77.4883	64.6334	90.3432	77.4175	93.9892	60.8458	8.6787	9.6833	7.6741
33_12	175.2282	186.232	164.2244	77.3421	85.6893	68.9949	80.804	70.5833	91.0247	12.1918	15.3657	9.0179	3.3571	3.9907	2.7235
33_13	113.5323	102.1151	124.9495	48.5665	51.2536	45.8794	72.8311	60.1383	85.5239	19.067	22.6916	15.4424	4.2666	4.7683	3.7649
33_18	136.7823	130.1149	143.4497	47.4408	47.7507	47.1309	71.9348	58.4397	85.4299	31.8324	33.624	30.0408	5.4813	5.60827	5.35433
33_19	93.83	99.6244	88.0356	32.3486	32.7151	31.9821	74.6924	62.8871	86.4977	12.2293	14.7275	9.7311	3.4172	3.8841	2.9503
33_20	222.0642	234.2427	209.8857	117.0947	124.3665	109.8229	82.4497	71.7386	93.1608	44.0047	37.15	50.8594	6.5566	6.0152	7.098
33_23	158.5082	146.0184	170.998	89.8497	84.3864	95.313	79.184	68.2973	90.0707	30.4273	21.3262	39.5284	5.4165	4.5999	6.2331
33_30	169.3547	175.4045	163.3049	89.1388	94.5428	83.7348	76.6802	66.0509	87.3095	68.3117	71.6176	65.0058	8.2337	8.46317	8.00423
33_33	164.6451	164.5661	164.7241	99.8057	96.2102	103.4012	78.38953	67.61563	89.16343	46.6121	40.3185	52.9057	6.7815	6.3251	7.2379
33_34	154.8627	164.4365	145.2889	85.2645	93.0457	77.4833	73.6505	59.1179	88.1831	48.1831	66.8049	29.5613	6.6076	8.0929	5.1223
33_43	201.5964	218.3715	184.8213	113.8433	116.3606	111.326	74.633	67.1006	82.1654	75.3299	79.356	71.3038	8.6435	8.89904	8.38796
33_44	193.8708	197.4691	190.2725	112.9755	109.8894	116.0616	76.9839	67.3716	86.5962	85.5082	88.7205	82.2959	9.2306	9.421703	9.0395
